Company,Company Score,Job Title,Location,Salary,Converted_Salary,In_GA
TikTok,3.2,R&D - Intern PEKK Job,"Mobile, AL",$37K - $61K (Glassdoor est.),37,No
Campus Opportunities,3.8,Product Manager MBA Intern (TikTok Shop Seller Experience)- 2025 Summer (MBA),"Seattle, WA",$34K (Employer est.),34,No
Mars,4.3,Advisory MC Intern Fall 2024,United States,$37K - $54K (Glassdoor est.),37,No
Toni Criner for Ward 7 State Board of Education,3.2,"Summer 2025 Mars Pet Nutrition Manufacturing Internship – Leipsic, Ohio",,$22.00 - $27.00 Per Hour (Employer est.),22,No
"City of Lewisville, TX",4.6,Campaign Intern,"Washington, DC",$60K - $83K (Glassdoor est.),60,No
WSP,3.2,Intern - Sustainability,"Lewisville, TX",$21.00 - $36.00 Per Hour (Employer est.),21,No
Lawrence Livermore National Laboratory,3.9,Environmental Engineering Intern - Fall 2024,"Norcross, GA",$24.62 - $30.00 Per Hour (Employer est.),24,Yes
Aon Corporation,3,Materials Engineering Division Graduate Intern - Fall 2024,"Livermore, CA",$62K - $98K (Glassdoor est.),62,No
DR ELECTRIC,3.8,Early Careers: Actuarial Intern,"Chicago, IL",$15.00 Per Hour (Employer est.),15,No
TikTok,4,Architect Intern,"Philadelphia, PA",$20.00 Per Hour (Employer est.),20,No
Indiana University,3.4,"Program Manager Intern, Product Operations (Signal Operations SMB)- 2025 Summer (BS/MS)","Austin, TX",$1K (Employer est.),1K,No
Day & Zimmermann,4.5,Part-Time Student Bepko Intern - Research Analytics Internship,"Bloomington, IN",$17.50 Per Hour (Employer est.),17,No
LG&E and KU Services Company,4,Mechanical Intern,"Huntsville, AL",$17.00 Per Hour (Employer est.),17,No
Kansas Department of Labor,4.3,Engineer Intern,"Lexington, KY",$12.00 - $15.00 Per Hour (Employer est.),12,No
Nestlé Purina Pet Care,4.2,Intern: Web Design and Database,"Topeka, KS",$43K - $76K (Glassdoor est.),43,No
North American Electric Reliability Corporation,3.7,Manufacturing Excellence Intern,"Flagstaff, AZ",$44.00 - $57.00 Per Hour (Employer est.),44,No
