Company,Company Score,Job Title,Location,Salary,Converted_Salary,In_GA
Dolby,4.7,Power Trading Analyst,"Denver, CO",$39.22 - $42.86 Per Hour (Employer est.),39,No
Sul Ross State University,3.5,PhD Image Capture Intern,"Sunnyvale, CA",,,No
Tower Semiconductor,4.1,"Dev Team Intern, Title III Internship Program","Alpine, TX",,,No
Avfuel Corporation,3.6,Yield Engineer Intern,"Newport Beach, CA",,,No
inStorify,2.8,Tax Internship,"Ann Arbor, MI",,,No
BCC Engineering,4.3,[Fall internship Program - VC Backed Startup] Marketing & Business Development,"New York, NY",,,No
University of Utah Health,3.7,CEI Intern,"Cumming, GA",,,Yes
Association of Public Health Laboratories,4,Energy Accelerator Student Intern,"Salt Lake City, UT",,,No
Los Alamos National Laboratory,3.8,"Intern, Infectious Diseases","Bethesda, MD",,,No
OFI,4.7,Graduate Student ST 1,"Los Alamos, NM",,,No
InterWorks,4,Engineering Intern,"Boardman, OR",,,No
Atlantis IT group,3.2,Employee Experience Intern,"Stillwater, OK",,,No
General Mills,3.7,RBI/Inspection SME,Oklahoma,,,No
Thrivent,4.1,Internship - Research & Development Food Scientist,"Golden Valley, MN",,,No
PRICE WATERHOUSE COOPERS,2.6,Actuarial Intern - Summer 2025,"Minneapolis, MN",,,No
Loon,4.2,Tax Financial Markets & Real Estate (FMRE) Intern - Winter 2025,"Miami, FL",,,No
John A. Knutson & Co.,3.2,"PhD Residency - ML / SWE, Early Moonshots","Mountain View, CA",,,No
City of Deerfield Beach,3.9,2025 Winter 1040 Internship,"Falcon Heights, Ramsey, MN",,,No
Marriott Vacations Worldwide,3.6,Intern-Community Services,"Deerfield Beach, FL",,,No
NBCUniversal,3.2,"New Owner Administration Internship (Power BI) - Orlando, FL","Lakeland, FL",,,No
Anders CPAs + Advisors,3.5,NBC Boston Digital News Intern - Fall 2024,"Needham, MA",,,No
City of Virginia Beach,5,State and Local Tax Intern - Fall 2024,"Saint Louis, MO",,,No
Frankel,3.6,City of Virginia Beach SkillBridge,"Virginia Beach, VA",,,No
Port City Executives,3.1,Client Services Internship - 2024,"Omaha, NE",,,No
Cummins Inc.,2.9,Account Representative Entry Level,"Grand Rapids, MI",,,No
Corcentric,4.3,School to Work - ePowertrain Controls,"Troy, MI",,,No
BCT LLC,4,"Intern, Business Process Analyst, Managed Services","Cherry Hill, NJ",,,No
Volvo Group,3.9,Data Management Specialist (DMS) 2 (SRN),"Fort Meade, MD",,,No
State of Nebraska,4.1,Co-Op: Manufacturing Engineering (Spring 2025),"Hagerstown, MD",,,No
Emkat inc,4.1,SOS Audit Intern,"Lincoln, NE",,,No
The Ohio State University,3.4,Administrator,"North Chelmsford, MA",,,No
Orange County Transportation Authority,3.8,Network Operations Center (NOC) Student Intern,,,,No
The Laney Consulting Agency,3.6,College Intern - Transit Technical Services,"Santa Ana, CA",,,No
EQUITAS Life Sciences,1,Digital Marketing Internship,"Culver City, CA",,,No
Perfetti Van Melle,3.3,Life Sciences Consulting Internship,"Essex Junction, VT",,,No
Whimsy Stick,4.1,Packaging Engineer Intern/Co-op,"Erlanger, KY",,,No
AbbVie,3.7,Landing Page Designer/Developer,"Manor, TX",,,No
US Federal Highway Administration,3.1,2025 Finance Externship,"North Chicago, IL",,,No
Western Digital,3.7,PATHWAYS STUDENT INTERN (Transportation Specialist),"Honolulu, HI",,,No
Iron Mountain,4.4,Media Tribology Ph.D. Internship,"San Jose, CA",,,No
University of Massachusetts Medical School,3.7,Data Center Internship Role,"Phoenix, AZ",,,No
Yusen Logistics,5,"Applied Public Policy Scholarly Project Graduate Intern (hybrid - Quincy, MA)","Shrewsbury, MA",,,No
Chartwells Higher Education,4.3,Financial Analyst Intern,"Secaucus, NJ",,,No
NBCUniversal,4.4,"Digital Marketing Intern, Chartwells Higher Ed + Boost / Worcester State University","Worcester, MA",,,No
Cipla,4,Universal Destinations & Experiences Fall 2024 Internship - Business Analytics & Industrial Engineering - Halloween Horror Nights,"Universal City, CA",,,No
Panicle INC,4,Pilot Plant Documentation Intern,"Fall River, MA",,,No
CVS Health,3.4,Newark Creative Marketing and Copywriting Intern,"Newark, NJ",,,No
Fenstermaker,3.7,Pharmacy Growth and Innovation Corporate Intern (Graduate) – Summer 2025,"Woonsocket, RI",,,No
NBCUniversal,3.9,Civil Engineer Intern,"Lafayette, LA",,,No
Continental,,NBC4/T44 Digital Internship – Academic Year 2024-25,"Washington, DC",,,No
Precision Castparts Corp.,,Intern - Strategic Pricing & Market Intelligence,"Fort Mill, SC",,,No
State of Maryland,,Co-Op Quality Internship,"Irvine, CA",,,No
Universal Studios Hollywood,,Coastal Risk Communication Intern (Chesapeake and Coastal Watershed - Summer Student Intern),"Annapolis, MD",,,No
Henry Ford Health,,Universal Destinations & Experiences Fall 2024 Internship - Business Analytics & Industrial Engineering - Halloween Horror Nights,"Universal City, CA",,,No
KeyBank,,Social Worker Intern LLMSW,"Jackson, MI",,,No
SUNY Oneonta,,2025 Summer CX+EX (Measurement and Insights Track) Internship - Cleveland,"Brooklyn, OH",,,No
Cummins Inc.,,Assistant Director of Alumni Engagement - SUNY Oneonta,"Oneonta, NY",,,No
University of Utah Health,,"School To Work, Advanced Engineering","Troy, MI",,,No
Circle K,,Financial Peer Mentor Internship,"Salt Lake City, UT",,,No
"Steel Dynamics, Inc.",,Real Estate Strategy Intern,"Charlotte, NC",,,No
State of Iowa,,Electrical Tech Internship,"Sinton, TX",,,No
Formlabs,,Tax Compliance Internship,Iowa,,,No
ACCESS,,SLA R&D Intern (Fall 2024),"Somerville, MA",,,No
The Bank of New York Mellon Corporation,,Development Assistant (Paid Internship),"Dearborn, MI",,,No
Aramark,,"2025 BNY Summer Internship Program - Finance Controller (Pittsburgh, PA)","Pittsburgh, PA",,,No
Day & Zimmermann,,Environmental Conservation Graduate Intern - Yosemite National Park,United States,,,No
U.S. Department of Defense (DOD),,Civil Intern,"Huntsville, AL",,,No
General Mills,,Data Research Engineer Fellow - Master's level,"Albuquerque, NM",,,No
Day & Zimmermann,,Internship - Research & Development Engineer,"Golden Valley, MN",,,No
RELQ TECHNOLOGIES LLC,,Structural Intern,"Huntsville, AL",,,No
Wayfair,,Oracle Cloud HCM,United States,,,No
TimkenSteel.,,"Salesforce Analyst, Revenue Strategy and Operations","Boston, MA",,,No
Mount Hermon Association Incorporated,,Primary Met QA Intern,"Canton, OH",,,No
Sam's Club,,Food Service Intern,"Mount Hermon, CA",,,No
Brownstone Property Group,,Pre Grad Intern - Sam's,"Honolulu, HI",,,No
Rapsodo,,Property Management & Brokerage Internship (Part Time),"Brooklyn, NY",,,No
General Mills,,"Sales Development Intern, Diamond Sports","Saint Louis, MO",,,No
GE HEALTHCARE,,Internship - Research & Development Packaging Engineer,"Golden Valley, MN",,,No
Westlake Careers,,MILITARY DoD SKILLBRIDGE Field Engineer,California,,,No
Cook Group,,Reliability Intern,"Wichita Falls, TX",,,No
Zurich Insurance Company Ltd.,,"COOK Inc. Spring 2025 Manufacturing Engineering Co-op, Spencer, Indiana","Spencer, IN",,,No
Municipality of Anchorage,,Actuarial Internship - Summer 2025,"Schaumburg, IL",,,No
IA Interior Architects,,PUBLIC SERVICE INTERN II - Range 10 / NON,Alaska,,,No
City of Philadelphia,,Marketing Research Analyst,"Washington, DC",,,No
Duininck Concrete,,PWD Water Facility Asset Management Intern- 169,"Philadelphia, PA",,,No
Moog Inc.,,Concrete Industry Management Intern – Business Leadership,"Willmar, MN",,,No
Alliance Coal and Affiliates Internship Program,,Fall 2024 Manufacturing/Operations/Quality Internship,"Elma, NY",,,No
Coding Minds Academy,,Alliance Coal and Affiliates Internship,"Lexington, KY",,,No
Conservation Corps New Mexico,,Python/Java Coding Instructor (Either or. Both not mandatory),"West Lafayette, IN",,,No
RELQ TECHNOLOGIES LLC,,Botany Support Specialist Intern- Conservation Corp New Mexico,"Carlsbad, NM",,,No
Day & Zimmermann,,Oracle Cloud Reporting,United States,,,No
Ryzlink DBA Chuwa America,,Electrical Intern,"Huntsville, AL",,,No
"The Cadmus Group, Inc.",,Visualization Engineer/Journalist,"Santa Clara, CA",,,No
"MGA Entertainment, Inc.",,"Research Analyst, Economic Engagement & Private Sector Development","Arlington, VA",,,No
Timmons Group,,"Brand Manager, Miniverse","Los Angeles, CA",,,No
Intrinsic Development,,Electric GIS Analyst II,"Richmond, VA",,,No
Ehob Inc,,Real Estate Finance Intern,"Columbia, MO",,,No
Refresh Pillar Wellness LLC,,New Product Engineering Manager,"Indianapolis, IN",,,No
Ramboll,,"In-Community Clinician (LSW, LAC, LCSW, LPC, LMFT)",New Jersey,,,No
State of Utah,,"Specialist, Ecology/Biodiversity","Seattle, WA",,,No
RELQ TECHNOLOGIES LLC,,"Surveyor Internship, National Core Indicator (NCI)","Salt Lake City, UT",,,No
University of Massachusetts Boston,,Oracle Cloud Human Capital Management,United States,,,No
Precision Castparts Corp.,,Graduate Assistanship (Healey Library),"Boston, MA",,,No
BCT LLC,,Operations Intern,"South Gate, CA",,,Yes
Volvo Group,,Program Integrator (PI) 1 (SRN),"Annapolis Junction, MD",,,No
"Sellery, Inc",,Co-op: Industrial Project Engineer (Spring 2025),"Hagerstown, MD",,,No
Philadelphia Corporation for Aging,,TikTok Operation Executive,"Bellevue, WA",,,No
GE HEALTHCARE,,Project Coordinator -Community Nutrition Program Internship,"Philadelphia, PA",,,No
Bank of China,,MILITARY DoD SKILLBRIDGE Biomedical Equipment,California,,,No
ENGIE North America Inc.,,Financial Institutions Department Compliance Intern,United States,,,No
Metropolitan Transportation Authority,,"Intern, Mechanical Distribution","Iowa City, IA",,,No
Exotic Ridge Crypto Company,,Tech & Eng Fellow Undergrad,"New York, NY",,,No
REV Group,,IT Technician,"Annville, KY",,,No
KORNFERRY,,Internship - Materials/Supply Chain,"Snyder, NE",,,No
Environment for the Americas,,International Tax Manager,Remote,,,No
Johnson Controls International,,Natural Resource Wildlife Intern,United States,,,No
Arizona Healthcare,,Centrifugal Chiller Engineering Intern,"New Freedom, PA",,,No
Wayfair,,Data Analytic Investigator,"Phoenix, AZ",,,No
Alpine Optoelectronics,,"Manager, Revenue Operations Sales Tooling","Boston, MA",,,No
"Student Conservation Association, Inc",,Silicon Photonics Engineering Internship,"Fremont, CA",,,No
AltaML,,Internship - GIS Intern,"Junction City, OR",,,No
University of San Francisco,,Associate Business Solutions Consultant (Cohort 9),"Waterloo, CA",,,No
U.S. Department of Defense (DOD),,SCP Adjunct Faculty (Spring Semester),"San Francisco, CA",,,No
Chartwells Higher Education,,Human Physiology/Psychology Research - Post-Bachelor's,"Dayton, OH",,,No
Protiviti,,"Information Technology Intern, Chartwells Higher Ed / University of Houston","Houston, TX",,,No
Cook Group,,New York City Internal Audit and Financial Advisory Consultant - 2025,"New York, NY",,,No
CHC Fashion Group,,"COOK Inc. Spring 2025 Quality Engineering Co-op, Spencer, Indiana","Spencer, IN",,,No
Sam's Club,,TikTok Live Operations Internship,"New York, NY",,,No
U.S. Department of Defense (DOD),,Pharmacy Pre Grad Intern - Sam's,"Beckley, WV",,,No
Triad Family & Children's Services,,"Public Health Command, East: Entomological Studies Internship","Fort George G Meade, MD",,,No
MSA Safety,,Mental Health Counselor,"Greensboro, NC",,,No
Arizona Healthcare,,"Co-Op: Industrial Engineering, Cranberry Facility (Summer 2025)","Cranberry Twp, PA",,,No
New York Life Insurance Co,,Financial Reporting Manager,"Phoenix, AZ",,,No
"HEALTH RESOURCES IN ACTION, INC.",,2025 Group Benefit Solutions (GBS) Underwriting Summer Internship Program - Farmington,"Farmington, CT",,,No
BCT LLC,,"LEAH Knox Project Manager, The LEAH Project","Boston, MA",,,No
Environment for the Americas,,Program Integrator (PI) 3 (SRN) - Columbia,"Annapolis Junction, MD",,,No
Committed to Capital,,Natural Resource Management Intern - San Mateo,"Golden Gate, Collier, FL",,,Yes
US Federal Highway Administration,,Sales and Account Manager,"Pitman, NJ",,,No
"Behavioral Progression, Inc.",,PATHWAYS STUDENT INTERN (Civil Engineer),"McLean, VA",,,No
Fix Organization,,Behavior Technician,"Lakeland, FL",,,No
Montana State University,,Immigration Staff Attorney This Is Not A Paid Position-Volunteers,"South San Francisco, CA",,,No
California Institute of Technology,,"Director of Career, Internship and Student Employment Services","Bozeman, MT",,,No
Chartwells Higher Education,,Cytometry Technician,"Pasadena, CA",,,No
KeyBank,,"Marketing Intern, Chartwells Higher Ed + Boost / St. John Fisher University","Rochester, NY",,,No
Bomie LLC,,"2025 Summer Key's Technology, Operations & Services (Operations Track) Internship - Cleveland","Brooklyn, OH",,,No
"Alliance For Change, LLC",,Livestream Assistant- Mandarin Speaking,United States,,,No
,,Licensed Professional Counselor (LPC). LPCA,"Louisville, KY",,,No
